         786300 function calls (779308 primitive calls) in 0.625 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.012    0.012 scraper.py:2(<module>)
        1    0.000    0.000    0.012    0.012 charset.py:6(<module>)
      800    0.002    0.000    0.011    0.000 sre_compile.py:228(_compile_charset)
        1    0.001    0.001    0.011    0.011 _json.py:7(<module>)
        1    0.000    0.000    0.011    0.011 base64mime.py:25(<module>)
        2    0.001    0.001    0.011    0.006 utils.py:5(<module>)
      158    0.001    0.000    0.011    0.000 {map}
  399/151    0.000    0.000    0.011    0.000 {zope.interface._zope_interface_coptimizations.implementedBy}
    87/63    0.001    0.000    0.011    0.000 declarations.py:140(implementedByFallback)
  238/237    0.001    0.000    0.011    0.000 declarations.py:67(changed)
        1    0.000    0.000    0.011    0.011 pyparsing.py:5377(pyparsing_common)
        1    0.000    0.000    0.010    0.010 rsa.py:5(<module>)
        1    0.000    0.000    0.010    0.010 feed.py:6(<module>)
        1    0.000    0.000    0.010    0.010 iterators.py:1(<module>)
     1766    0.009    0.000    0.010    0.000 version.py:343(_cmpkey)
        1    0.000    0.000    0.010    0.010 specifiers.py:275(Specifier)
        2    0.000    0.000    0.010    0.005 __init__.py:4(<module>)
        1    0.000    0.000    0.010    0.010 selector.py:3(<module>)
      106    0.001    0.000    0.009    0.000 interface.py:308(__init__)
      170    0.000    0.000    0.009    0.000 declarations.py:64(__init__)
      800    0.006    0.000    0.009    0.000 sre_compile.py:256(_optimize_charset)
       17    0.007    0.000    0.009    0.001 collections.py:305(namedtuple)
        1    0.000    0.000    0.009    0.009 lxmlsel.py:3(<module>)
        7    0.001    0.000    0.009    0.001 __init__.py:1(<module>)
        1    0.000    0.000    0.009    0.009 log.py:3(<module>)
     1245    0.001    0.000    0.009    0.000 posixpath.py:358(abspath)
        1    0.000    0.000    0.009    0.009 tokenize.py:23(<module>)
        1    0.000    0.000    0.009    0.009 uuid.py:45(<module>)
      202    0.001    0.000    0.008    0.000 sre_compile.py:433(_compile_info)
     3494    0.002    0.000    0.008    0.000 posixpath.py:97(splitext)
      338    0.001    0.000    0.008    0.000 inspect.py:460(getabsfile)
     6490    0.006    0.000    0.008    0.000 posixpath.py:61(join)
        1    0.001    0.001    0.008    0.008 fractions.py:4(<module>)
      489    0.003    0.000    0.007    0.000 inspect.py:440(getsourcefile)
        1    0.000    0.000    0.007    0.007 rand.py:3(<module>)
      660    0.004    0.000    0.007    0.000 __init__.py:757(add)
        1    0.000    0.000    0.007    0.007 cookielib.py:26(<module>)
     1249    0.005    0.000    0.007    0.000 posixpath.py:329(normpath)
        1    0.000    0.000    0.007    0.007 _util.py:1(<module>)
     8485    0.005    0.000    0.007    0.000 sre_parse.py:141(__getitem__)
        1    0.001    0.001    0.007    0.007 binding.py:5(<module>)
        1    0.000    0.000    0.007    0.007 udp.py:16(<module>)
      428    0.007    0.000    0.007    0.000 {posix.listdir}
     5976    0.007    0.000    0.007    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.007    0.007 csstranslator.py:1(<module>)
        1    0.000    0.000    0.007    0.007 __init__.py:14(<module>)
      471    0.000    0.000    0.006    0.000 pyparsing.py:1144(copy)
2799/1037    0.005    0.000    0.006    0.000 sre_parse.py:151(getwidth)
     2246    0.006    0.000    0.006    0.000 {posix.stat}
     1100    0.003    0.000    0.006    0.000 version.py:236(__str__)
        1    0.001    0.001    0.006    0.006 lxml.etree.pyx:1(PyMODINIT_FUNC PyInit_etree(void))
     1790    0.002    0.000    0.006    0.000 __init__.py:2237(yield_lines)
       12    0.000    0.000    0.006    0.001 pyparsing.py:4229(__init__)
     3494    0.004    0.000    0.006    0.000 genericpath.py:93(_splitext)
    36/11    0.000    0.000    0.006    0.001 pyparsing.py:3721(leaveWhitespace)
      471    0.001    0.000    0.006    0.000 copy.py:66(copy)
     4786    0.006    0.000    0.006    0.000 {posix.lstat}
      345    0.000    0.000    0.006    0.000 ro.py:61(ro)
        1    0.000    0.000    0.006    0.006 parser.py:13(<module>)
        1    0.000    0.000    0.006    0.006 interfaces.py:8(<module>)
