         786276 function calls (779284 primitive calls) in 0.621 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.041    0.041 posixbase.py:7(<module>)
      330    0.000    0.000    0.039    0.000 __init__.py:3063(<genexpr>)
      329    0.001    0.000    0.038    0.000 __init__.py:2585(activate)
     1100    0.003    0.000    0.038    0.000 __init__.py:1381(safe_version)
      202    0.000    0.000    0.038    0.000 sre_compile.py:552(_code)
        6    0.000    0.000    0.037    0.006 deprecate.py:15(create_deprecated_class)
        6    0.000    0.000    0.036    0.006 inspect.py:1058(stack)
        6    0.000    0.000    0.036    0.006 inspect.py:1031(getouterframes)
       80    0.000    0.000    0.036    0.000 inspect.py:993(getframeinfo)
     2112    0.003    0.000    0.035    0.000 __init__.py:2580(_get_metadata)
       80    0.001    0.000    0.034    0.000 inspect.py:518(findsource)
    39280    0.019    0.000    0.032    0.000 version.py:65(_compare)
      444    0.001    0.000    0.032    0.000 {next}
      906    0.001    0.000    0.032    0.000 posixpath.py:372(realpath)
      572    0.001    0.000    0.029    0.000 __init__.py:2076(_handle_ns)
       86    0.004    0.000    0.029    0.000 inspect.py:472(getmodule)
 1988/202    0.012    0.000    0.029    0.000 sre_compile.py:64(_compile)
      660    0.003    0.000    0.029    0.000 __init__.py:2423(__init__)
      329    0.001    0.000    0.029    0.000 __init__.py:2168(fixup_namespace_packages)
        1    0.000    0.000    0.027    0.027 tcp.py:9(<module>)
    20726    0.015    0.000    0.025    0.000 version.py:114(_parse_version_parts)
        1    0.000    0.000    0.025    0.025 _newtls.py:11(<module>)
      569    0.002    0.000    0.025    0.000 pkgutil.py:176(find_module)
        1    0.001    0.001    0.025    0.025 tls.py:37(<module>)
  907/906    0.006    0.000    0.025    0.000 posixpath.py:380(_joinrealpath)
        1    0.001    0.001    0.023    0.023 pyparsing.py:61(<module>)
    20268    0.007    0.000    0.023    0.000 version.py:53(__eq__)
    19012    0.007    0.000    0.023    0.000 version.py:47(__lt__)
    18578    0.006    0.000    0.021    0.000 sre_parse.py:212(get)
        1    0.001    0.001    0.021    0.021 compat.py:22(<module>)
       27    0.000    0.000    0.020    0.001 pyparsing.py:2757(__init__)
        1    0.000    0.000    0.019    0.019 styles.py:7(<module>)
        1    0.001    0.001    0.018    0.018 log.py:7(<module>)
      343    0.001    0.000    0.017    0.000 interface.py:204(__setBases)
    20741    0.014    0.000    0.017    0.000 sre_parse.py:193(__next)
       67    0.000    0.000    0.017    0.000 declarations.py:243(classImplements)
        1    0.001    0.001    0.016    0.016 cmdline.py:1(<module>)
        1    0.001    0.001    0.016    0.016 __init__.py:43(<module>)
        1    0.001    0.001    0.015    0.015 crawler.py:1(<module>)
       56    0.000    0.000    0.014    0.000 declarations.py:312(__call__)
      276    0.002    0.000    0.014    0.000 interface.py:187(__init__)
        1    0.000    0.000    0.014    0.014 parser.py:5(<module>)
        1    0.000    0.000    0.014    0.014 feedparser.py:20(<module>)
      252    0.001    0.000    0.014    0.000 __init__.py:1876(get_metadata_lines)
        1    0.004    0.004    0.014    0.014 __init__.py:32(<module>)
     7743    0.014    0.000    0.014    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
      252    0.002    0.000    0.013    0.000 __init__.py:1859(get_metadata)
  344/343    0.004    0.000    0.013    0.000 interface.py:222(changed)
        1    0.000    0.000    0.013    0.013 engine.py:6(<module>)
        1    0.000    0.000    0.013    0.013 message.py:5(<module>)
        1    0.000    0.000    0.013    0.013 scraper.py:2(<module>)
        1    0.000    0.000    0.013    0.013 charset.py:6(<module>)
64315/64314    0.012    0.000    0.012    0.000 {isinstance}
        1    0.000    0.000    0.012    0.012 base64mime.py:25(<module>)
        2    0.001    0.001    0.012    0.006 utils.py:5(<module>)
     4786    0.004    0.000    0.012    0.000 posixpath.py:132(islink)
        1    0.001    0.001    0.012    0.012 crypto.py:1(<module>)
        1    0.000    0.000    0.012    0.012 inspect.py:25(<module>)
      800    0.002    0.000    0.011    0.000 sre_compile.py:228(_compile_charset)
        1    0.000    0.000    0.011    0.011 specifiers.py:4(<module>)
  399/151    0.000    0.000    0.011    0.000 {zope.interface._zope_interface_coptimizations.implementedBy}
        1    0.001    0.001    0.011    0.011 _json.py:7(<module>)
  238/237    0.001    0.000    0.011    0.000 declarations.py:67(changed)
    87/63    0.001    0.000    0.011    0.000 declarations.py:140(implementedByFallback)
      158    0.001    0.000    0.011    0.000 {map}
        1    0.000    0.000    0.011    0.011 pyparsing.py:5377(pyparsing_common)
        1    0.000    0.000    0.010    0.010 rsa.py:5(<module>)
        1    0.000    0.000    0.010    0.010 feed.py:6(<module>)
        2    0.000    0.000    0.010    0.005 __init__.py:4(<module>)
        1    0.000    0.000    0.010    0.010 iterators.py:1(<module>)
        7    0.001    0.000    0.010    0.001 __init__.py:1(<module>)
     1766    0.009    0.000    0.010    0.000 version.py:343(_cmpkey)
        1    0.000    0.000    0.010    0.010 log.py:3(<module>)
        1    0.000    0.000    0.010    0.010 selector.py:3(<module>)
        1    0.000    0.000    0.010    0.010 specifiers.py:275(Specifier)
      170    0.000    0.000    0.010    0.000 declarations.py:64(__init__)
      106    0.001    0.000    0.009    0.000 interface.py:308(__init__)
      800    0.006    0.000    0.009    0.000 sre_compile.py:256(_optimize_charset)
        1    0.000    0.000    0.009    0.009 lxmlsel.py:3(<module>)
     1245    0.001    0.000    0.009    0.000 posixpath.py:358(abspath)
        1    0.000    0.000    0.009    0.009 tokenize.py:23(<module>)
        1    0.000    0.000    0.009    0.009 uuid.py:45(<module>)
       17    0.007    0.000    0.008    0.000 collections.py:305(namedtuple)
      202    0.001    0.000    0.008    0.000 sre_compile.py:433(_compile_info)
     3494    0.002    0.000    0.008    0.000 posixpath.py:97(splitext)
        1    0.001    0.001    0.008    0.008 fractions.py:4(<module>)
     6490    0.006    0.000    0.008    0.000 posixpath.py:61(join)
      338    0.001    0.000    0.008    0.000 inspect.py:460(getabsfile)
        1    0.000    0.000    0.007    0.007 cookielib.py:26(<module>)
        1    0.000    0.000    0.007    0.007 rand.py:3(<module>)
      489    0.003    0.000    0.007    0.000 inspect.py:440(getsourcefile)
      660    0.004    0.000    0.007    0.000 __init__.py:757(add)
        1    0.000    0.000    0.007    0.007 _util.py:1(<module>)
     1249    0.005    0.000    0.007    0.000 posixpath.py:329(normpath)
        1    0.001    0.001    0.007    0.007 binding.py:5(<module>)
     5976    0.007    0.000    0.007    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.007    0.007 csstranslator.py:1(<module>)
     8485    0.005    0.000    0.007    0.000 sre_parse.py:141(__getitem__)
      428    0.007    0.000    0.007    0.000 {posix.listdir}
        1    0.000    0.000    0.007    0.007 udp.py:16(<module>)
        1    0.000    0.000    0.007    0.007 __init__.py:14(<module>)
      471    0.000    0.000    0.007    0.000 pyparsing.py:1144(copy)
        1    0.000    0.000    0.007    0.007 __init__.py:50(<module>)
     1100    0.003    0.000    0.006    0.000 version.py:236(__str__)
        1    0.001    0.001    0.006    0.006 lxml.etree.pyx:1(PyMODINIT_FUNC PyInit_etree(void))
     2246    0.006    0.000    0.006    0.000 {posix.stat}
2799/1037    0.005    0.000    0.006    0.000 sre_parse.py:151(getwidth)
        1    0.000    0.000    0.006    0.006 platform.py:10(<module>)
     1790    0.002    0.000    0.006    0.000 __init__.py:2237(yield_lines)
       12    0.000    0.000    0.006    0.001 pyparsing.py:4229(__init__)
      471    0.001    0.000    0.006    0.000 copy.py:66(copy)
     3494    0.004    0.000    0.006    0.000 genericpath.py:93(_splitext)
    36/11    0.000    0.000    0.006    0.001 pyparsing.py:3721(leaveWhitespace)
      345    0.000    0.000    0.006    0.000 ro.py:61(ro)
     4786    0.006    0.000    0.006    0.000 {posix.lstat}
        1    0.000    0.000    0.006    0.006 parser.py:13(<module>)
        1    0.000    0.000    0.006    0.006 util.py:247(find_library)
        1    0.000    0.000    0.006    0.006 util.py:209(_findSoname_ldconfig)
